0,tcp,http,OTH,285,0,0,14,0.0,0.0,0.0,0.0,1.0,0,14,0.0,0.0,0.33,1.0,0.0,0.0,BP
0,tcp,http,OTH,394,0,25,32,0.0,0.0,0.96,0.04,0.25,25,32,0.96,0.04,0.06,0.25,0.0,0.0,BP
0,tcp,other,OTH,66,0,16,18,0.0,0.0,0.94,0.06,0.17,16,18,0.94,0.06,0.0,0.17,0.0,0.0,normal
0,tcp,http,OTH,233,0,2,10,0.0,0.0,1.0,0.0,0.8,2,10,1.0,0.0,0.09,0.8,0.0,0.0,normal
0,tcp,other,OTH,66,0,16,24,0.0,0.0,0.94,0.06,0.38,16,24,0.94,0.06,0.0,0.38,0.0,0.0,normal
0,tcp,other,OTH,66,0,248,704,0.0,0.0,1.0,0.0,0.65,42,100,1.0,0.0,0.42,0.58,0.0,0.0,normal
0,tcp,http,OTH,232,0,398,1002,0.0,0.0,1.0,0.0,0.6,33,100,1.0,0.0,0.33,0.67,0.0,0.0,FoT
0,tcp,http,OTH,393,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,BP
0,tcp,http,OTH,631,0,2,3,0.0,0.0,1.0,0.0,0.33,2,3,1.0,0.0,0.0,0.33,0.0,0.0,normal
0,tcp,other,S1,64,0,42,55,0.62,0.47,0.98,0.02,0.25,42,55,0.98,0.02,0.0,0.25,0.62,0.47,DoS
0,tcp,http,OTH,232,0,196,485,0.0,0.0,1.0,0.0,0.6,33,100,1.0,0.0,0.33,0.67,0.0,0.0,FoT
0,tcp,other,OTH,66,0,37,110,0.0,0.0,1.0,0.0,0.66,33,99,1.0,0.0,0.37,0.67,0.0,0.0,normal
0,tcp,other,OTH,66,0,2,23,0.0,0.0,1.0,0.0,0.91,2,23,1.0,0.0,0.08,0.91,0.0,0.0,normal
0,tcp,http,OTH,296,0,183,388,0.0,0.0,0.58,0.42,0.73,41,98,0.95,0.05,0.38,0.6,0.0,0.0,normal
0,tcp,http,OTH,233,0,47,96,0.0,0.0,0.49,0.51,0.76,40,79,0.47,0.53,0.24,0.76,0.0,0.0,normal
0,tcp,http,OTH,233,0,140,330,0.0,0.0,0.96,0.04,0.59,45,100,1.0,0.0,0.45,0.55,0.0,0.0,normal
0,tcp,other,OTH,66,0,39,57,0.0,0.0,1.0,0.0,0.32,39,57,1.0,0.0,0.14,0.32,0.0,0.0,normal
0,udp,other,SF,314,524,21,31,0.0,0.0,1.0,0.0,0.32,21,31,1.0,0.0,0.0,0.32,0.0,0.0,normal
