0,tcp,other,66,0,OTH,67,181,0,1,0,0,0.63,37,96,1,0,0.38,0,0.61,0,Normal
0,tcp,http,60,0,S1,184,205,0.72,0.97,0.03,0.64,0.13,100,100,1,0,0,1,0,1,DoS
0,tcp,http,599,525,SF,24,28,0,0.88,0.12,0,0.25,24,28,0.88,0.12,0,0,0.25,0,Normal
0,tcp,http,98,0,OTH,22,38,0,1,0,0,0.42,22,38,1,0,0.13,0,0.42,0,MitM
0,tcp,private,66,0,OTH,3,3,0,1,0,0,0,3,3,1,0,0.75,0,0,0,Normal
0,tcp,other,66,0,OTH,5,1,0,0,1,0,1,5,1,0,1,0,0,1,0,Normal
0,tcp,http,232,0,OTH,1141,3347,0,1,0,0,0.66,30,97,1,0,0.46,0,0.69,0,FoT
0,tcp,http,565,525,SF,15,25,0,1,0,0,0.4,15,25,1,0,0,0,0.4,0,Normal
0,tcp,other,66,0,OTH,2,7,0,1,0,0,0.71,1,4,1,0,0.2,0,0.75,0,Normal
0,tcp,http,394,0,OTH,56,76,0,0.89,0.11,0,0.34,56,76,0.89,0.11,0,0,0.34,0,BP
0,tcp,other,66,0,OTH,30,34,0,0.73,0.27,0,0.35,30,34,0.73,0.27,0,0,0.35,0,Normal
0,tcp,http,396,0,OTH,45,61,0,0.87,0.13,0,0.36,45,61,0.87,0.13,0.03,0,0.36,0,BP
0,tcp,other,66,0,OTH,1140,2005,0,0.96,0.04,0,0.45,53,96,0.96,0.04,0,0,0.47,0,Normal
0,tcp,other,66,0,OTH,472,1638,0,1,0,0,0.71,34,96,1,0,0.43,0,0.65,0,Normal
0,tcp,http,60,0,S1,387,418,0.86,0.98,0.02,0.8,0.09,100,100,1,0,0,1,0,1,DoS
0,tcp,other,66,0,OTH,19,623,0,1,0,0,0.97,5,92,1,0,0.4,0,0.95,0,Normal
0,tcp,http,409,0,OTH,120,180,0,0.93,0.07,0,0.38,60,92,0.93,0.07,0.03,0,0.39,0,Normal
0,tcp,http,232,0,OTH,1456,3890,0,1,0,0,0.63,35,96,1,0,0.48,0,0.64,0,FoT
0,tcp,other,130,0,OTH,3,8,0,1,0,0,0.62,3,8,1,0,0.33,0,0.62,0,Normal
0,tcp,http,60,0,S1,602,644,0.86,0.98,0.02,0.8,0.08,100,100,1,0,0,1,0,1,DoS
0,tcp,other,66,0,OTH,8,4,0,0.25,0.75,0,0.5,8,4,0.25,0.75,0.2,0,0.5,0,Normal
0,tcp,http,408,0,OTH,29,36,0,0.86,0.14,0,0.31,29,36,0.86,0.14,0.05,0,0.31,0,Normal
0,tcp,other,66,0,OTH,24,61,0,1,0,0,0.61,24,61,1,0,0.39,0,0.61,0,Normal
0,tcp,http,630,0,OTH,647,1083,0,0.95,0.05,0,0.43,58,96,0.97,0.03,0,0,0.42,0,Normal
